symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
QSR.TO,QSR,Restaurant Brands International Inc.,Consumer Cyclical,,CA,XIU.TO,XIU.TO
RCI.B.TO,RCI.B,Rogers Communications Inc.,Communication Services,,CA,XIU.TO,XTL.TO
RY.TO,RY,Royal Bank of Canada,Financial Services,,CA,XIU.TO,XFN.TO
SAP.TO,SAP,Saputo Inc.,Consumer Staples,,CA,XIU.TO,XST.TO
SHOP.TO,SHOP,Shopify Inc.,Information Technology,,CA,XIU.TO,XIT.TO
SLF.TO,SLF,Sun Life Financial Inc.,Financial Services,,CA,XIU.TO,XFN.TO
SU.TO,SU,Suncor Energy Inc.,Energy,,CA,XIU.TO,XEG.TO
T.TO,T,Telus Corporation,Communication Services,,CA,XIU.TO,XTL.TO
TD.TO,TD,Toronto-Dominion Bank,Financial Services,,CA,XIU.TO,XFN.TO
TECK.B.TO,TECK.B,Teck Resources Limited,Basic Materials,,CA,XIU.TO,XMA.TO
TOU.TO,TOU,Tourmaline Oil Corp.,Energy,,CA,XIU.TO,XEG.TO
TRI.TO,TRI,Thomson Reuters Corporation,Industrials,,CA,XIU.TO,XIN.TO
TRP.TO,TRP,TC Energy Corporation,Energy,,CA,XIU.TO,XEG.TO
WCN.TO,WCN,Waste Connections Inc.,Industrials,,CA,XIU.TO,XIN.TO
WN.TO,WN,George Weston Limited,Consumer Staples,,CA,XIU.TO,XST.TO
WPM.TO,WPM,Wheaton Precious Metals Corp.,Basic Materials,,CA,XIU.TO,XMA.TO
WSP.TO,WSP,WSP Global Inc.,Industrials,,CA,XIU.TO,XIN.TO
nan.TO,,National Bank of Canada,Financial Services,,CA,XIU.TO,XFN.TO
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,US,SPY,XLV
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
ABBV,ABBV,AbbVie,Health Care,Biotechnology,US,SPY,XLV
ABNB,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,US,SPY,XLV
ACGL,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,US,SPY,XLF
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services,US,SPY,XLK
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software,US,SPY,XLK
ADI,ADI,Analog Devices,Information Technology,Semiconductors,US,SPY,XLK
ADM,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,US,SPY,XLP
ADP,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,US,SPY,XLI
ADSK,ADSK,Autodesk,Information Technology,Application Software,US,SPY,XLK
AEE,AEE,Ameren,Utilities,Multi-Utilities,US,SPY,XLU
AEP,AEP,American Electric Power,Utilities,Electric Utilities,US,SPY,XLU
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,US,SPY,XLU
AFL,AFL,Aflac,Financials,Life & Health Insurance,US,SPY,XLF
AIG,AIG,American International Group,Financials,Multi-line Insurance,US,SPY,XLF
AIZ,AIZ,Assurant,Financials,Multi-line Insurance,US,SPY,XLF
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,US,SPY,XLF
AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,US,SPY,XLK
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,US,SPY,XLB
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,US,SPY,XLV
ALL,ALL,Allstate,Financials,Property & Casualty Insurance,US,SPY,XLF
ALLE,ALLE,Allegion,Industrials,Building Products,US,SPY,XLI
AMAT,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,US,SPY,XLK
AMCR,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,US,SPY,XLB
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,US,SPY,XLK
AME,AME,Ametek,Industrials,Electrical Components & Equipment,US,SPY,XLI
AMGN,AMGN,Amgen,Health Care,Biotechnology,US,SPY,XLV
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,US,SPY,XLF
AMT,AMT,American Tower,Real Estate,Telecom Tower REITs,US,SPY,XLRE
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,US,SPY,XLY
ANET,ANET,Arista Networks,Information Technology,Communications Equipment,US,SPY,XLK
AON,AON,Aon plc,Financials,Insurance Brokers,US,SPY,XLF
AOS,AOS,A. O. Smith,Industrials,Building Products,US,SPY,XLI
APA,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
APD,APD,Air Products,Materials,Industrial Gases,US,SPY,XLB
APH,APH,Amphenol,Information Technology,Electronic Components,US,SPY,XLK
APO,APO,Apollo Global Management,Financials,Asset Management & Custody Banks,US,SPY,XLF
APP,APP,AppLovin,Information Technology,Application Software,US,SPY,XLK
APTV,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,US,SPY,XLY
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,US,SPY,XLRE
ARES,ARES,Ares Management,Financials,Asset Management & Custody Banks,US,SPY,XLF
ATO,ATO,Atmos Energy,Utilities,Gas Utilities,US,SPY,XLU
AVB,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,US,SPY,XLRE
AVGO,AVGO,Broadcom,Information Technology,Semiconductors,US,SPY,XLK
AVY,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,US,SPY,XLB
AWK,AWK,American Water Works,Utilities,Water Utilities,US,SPY,XLU
AXON,AXON,Axon Enterprise,Industrials,Aerospace & Defense,US,SPY,XLI
AXP,AXP,American Express,Financials,Consumer Finance,US,SPY,XLF
AZO,AZO,AutoZone,Consumer Discretionary,Automotive Retail,US,SPY,XLY
BA,BA,Boeing,Industrials,Aerospace & Defense,US,SPY,XLI
BAC,BAC,Bank of America,Financials,Diversified Banks,US,SPY,XLF
BALL,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",US,SPY,XLB
BAX,BAX,Baxter International,Health Care,Health Care Equipment,US,SPY,XLV
BBY,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,US,SPY,XLY
BDX,BDX,Becton Dickinson,Health Care,Health Care Equipment,US,SPY,XLV
BEN,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,US,SPY,XLF
BF-B,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,US,SPY,XLP
BG,BG,Bunge Global,Consumer Staples,Agricultural Products & Services,US,SPY,XLP
BIIB,BIIB,Biogen,Health Care,Biotechnology,US,SPY,XLV
BK,BK,BNY Mellon,Financials,Asset Management & Custody Banks,US,SPY,XLF
BKNG,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
BKR,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,US,SPY,XLE
BLDR,BLDR,Builders FirstSource,Industrials,Building Products,US,SPY,XLI
BLK,BLK,BlackRock,Financials,Asset Management & Custody Banks,US,SPY,XLF
BMY,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,US,SPY,XLV
BR,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,US,SPY,XLI
BRK-B,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,US,SPY,XLF
BRO,BRO,Brown & Brown,Financials,Insurance Brokers,US,SPY,XLF
BSX,BSX,Boston Scientific,Health Care,Health Care Equipment,US,SPY,XLV
BX,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,US,SPY,XLF
BXP,BXP,"BXP, Inc.",Real Estate,Office REITs,US,SPY,XLRE
C,C,Citigroup,Financials,Diversified Banks,US,SPY,XLF
CAG,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
CAH,CAH,Cardinal Health,Health Care,Health Care Distributors,US,SPY,XLV
CARR,CARR,Carrier Global,Industrials,Building Products,US,SPY,XLI
CAT,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,US,SPY,XLI
CB,CB,Chubb Limited,Financials,Property & Casualty Insurance,US,SPY,XLF
CBOE,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,US,SPY,XLF
CBRE,CBRE,CBRE Group,Real Estate,Real Estate Services,US,SPY,XLRE
CCI,CCI,Crown Castle,Real Estate,Telecom Tower REITs,US,SPY,XLRE
CCL,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
CDNS,CDNS,Cadence Design Systems,Information Technology,Application Software,US,SPY,XLK
CDW,CDW,CDW Corporation,Information Technology,Technology Distributors,US,SPY,XLK
CEG,CEG,Constellation Energy,Utilities,Electric Utilities,US,SPY,XLU
CF,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,US,SPY,XLB
CFG,CFG,Citizens Financial Group,Financials,Regional Banks,US,SPY,XLF
CHD,CHD,Church & Dwight,Consumer Staples,Household Products,US,SPY,XLP
CHRW,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,US,SPY,XLI
CHTR,CHTR,Charter Communications,Communication Services,Cable & Satellite,US,SPY,XLC
CI,CI,Cigna,Health Care,Health Care Services,US,SPY,XLV
CIEN,CIEN,Ciena,Information Technology,Communications Equipment,US,SPY,XLK
CINF,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,US,SPY,XLF
CL,CL,Colgate-Palmolive,Consumer Staples,Household Products,US,SPY,XLP
CLX,CLX,Clorox,Consumer Staples,Household Products,US,SPY,XLP
CMCSA,CMCSA,Comcast,Communication Services,Cable & Satellite,US,SPY,XLC
CME,CME,CME Group,Financials,Financial Exchanges & Data,US,SPY,XLF
CMG,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,US,SPY,XLY
CMI,CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,US,SPY,XLI
CMS,CMS,CMS Energy,Utilities,Multi-Utilities,US,SPY,XLU
CNC,CNC,Centene Corporation,Health Care,Managed Health Care,US,SPY,XLV
CNP,CNP,CenterPoint Energy,Utilities,Multi-Utilities,US,SPY,XLU
COF,COF,Capital One,Financials,Consumer Finance,US,SPY,XLF
COHR,COHR,Coherent Corp.,Information Technology,Electronic Components,US,SPY,XLK
COIN,COIN,Coinbase,Financials,Financial Exchanges & Data,US,SPY,XLF
COO,COO,Cooper Companies (The),Health Care,Health Care Supplies,US,SPY,XLV
COP,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
COR,COR,Cencora,Health Care,Health Care Distributors,US,SPY,XLV
COST,COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,US,SPY,XLP
CPAY,CPAY,Corpay,Financials,Transaction & Payment Processing Services,US,SPY,XLF
CPB,CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
CPRT,CPRT,Copart,Industrials,Diversified Support Services,US,SPY,XLI
CPT,CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,US,SPY,XLRE
CRH,CRH,CRH plc,Materials,Construction Materials,US,SPY,XLB
CRL,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,US,SPY,XLV
CRM,CRM,Salesforce,Information Technology,Application Software,US,SPY,XLK
CRWD,CRWD,CrowdStrike,Information Technology,Systems Software,US,SPY,XLK
CSCO,CSCO,Cisco,Information Technology,Communications Equipment,US,SPY,XLK
CSGP,CSGP,CoStar Group,Real Estate,Real Estate Services,US,SPY,XLRE
CSX,CSX,CSX Corporation,Industrials,Rail Transportation,US,SPY,XLI
CTAS,CTAS,Cintas,Industrials,Diversified Support Services,US,SPY,XLI
CTRA,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
CTSH,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,US,SPY,XLK
CTVA,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,US,SPY,XLB
CVNA,CVNA,Carvana,Consumer Discretionary,Automotive Retail,US,SPY,XLY
CVS,CVS,CVS Health,Health Care,Health Care Services,US,SPY,XLV
CVX,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,US,SPY,XLE
D,D,Dominion Energy,Utilities,Multi-Utilities,US,SPY,XLU
DAL,DAL,Delta Air Lines,Industrials,Passenger Airlines,US,SPY,XLI
DASH,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,US,SPY,XLY
DD,DD,DuPont,Materials,Specialty Chemicals,US,SPY,XLB
DDOG,DDOG,Datadog,Information Technology,Application Software,US,SPY,XLK
DE,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,US,SPY,XLI
DECK,DECK,Deckers Brands,Consumer Discretionary,Footwear,US,SPY,XLY
DELL,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
DG,DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,US,SPY,XLP
DGX,DGX,Quest Diagnostics,Health Care,Health Care Services,US,SPY,XLV
DHI,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,US,SPY,XLY
DHR,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,US,SPY,XLV
DIS,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,US,SPY,XLC
DLR,DLR,Digital Realty,Real Estate,Data Center REITs,US,SPY,XLRE
DLTR,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,US,SPY,XLP
DOC,DOC,Healthpeak Properties,Real Estate,Health Care REITs,US,SPY,XLRE
DOV,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
DOW,DOW,Dow Inc.,Materials,Commodity Chemicals,US,SPY,XLB
DPZ,DPZ,Domino's,Consumer Discretionary,Restaurants,US,SPY,XLY
DRI,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,US,SPY,XLY
DTE,DTE,DTE Energy,Utilities,Multi-Utilities,US,SPY,XLU
DUK,DUK,Duke Energy,Utilities,Electric Utilities,US,SPY,XLU
DVA,DVA,DaVita,Health Care,Health Care Services,US,SPY,XLV
DVN,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
DXCM,DXCM,Dexcom,Health Care,Health Care Equipment,US,SPY,XLV
EA,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,US,SPY,XLC
EBAY,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,US,SPY,XLY
ECL,ECL,Ecolab,Materials,Specialty Chemicals,US,SPY,XLB
ED,ED,Consolidated Edison,Utilities,Multi-Utilities,US,SPY,XLU
EFX,EFX,Equifax,Industrials,Research & Consulting Services,US,SPY,XLI
EG,EG,Everest Group,Financials,Reinsurance,US,SPY,XLF
EIX,EIX,Edison International,Utilities,Electric Utilities,US,SPY,XLU
EL,EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,US,SPY,XLP
ELV,ELV,Elevance Health,Health Care,Managed Health Care,US,SPY,XLV
EME,EME,Emcor,Industrials,Construction & Engineering,US,SPY,XLI
EMR,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,US,SPY,XLI
EOG,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
EPAM,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,US,SPY,XLK
EQIX,EQIX,Equinix,Real Estate,Data Center REITs,US,SPY,XLRE
EQR,EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,US,SPY,XLRE
EQT,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
ERIE,ERIE,Erie Indemnity,Financials,Insurance Brokers,US,SPY,XLF
ES,ES,Eversource Energy,Utilities,Electric Utilities,US,SPY,XLU
ESS,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,US,SPY,XLRE
ETN,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,US,SPY,XLI
ETR,ETR,Entergy,Utilities,Electric Utilities,US,SPY,XLU
EVRG,EVRG,Evergy,Utilities,Electric Utilities,US,SPY,XLU
EW,EW,Edwards Lifesciences,Health Care,Health Care Equipment,US,SPY,XLV
EXC,EXC,Exelon,Utilities,Electric Utilities,US,SPY,XLU
EXE,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
EXPD,EXPD,Expeditors International,Industrials,Air Freight & Logistics,US,SPY,XLI
EXPE,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",US,SPY,XLY
EXR,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,US,SPY,XLRE
F,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,US,SPY,XLY
FANG,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,US,SPY,XLE
FAST,FAST,Fastenal,Industrials,Trading Companies & Distributors,US,SPY,XLI
FCX,FCX,Freeport-McMoRan,Materials,Copper,US,SPY,XLB
FDS,FDS,FactSet,Financials,Financial Exchanges & Data,US,SPY,XLF
FDX,FDX,FedEx,Industrials,Air Freight & Logistics,US,SPY,XLI
FE,FE,FirstEnergy,Utilities,Electric Utilities,US,SPY,XLU
FFIV,FFIV,"F5, Inc.",Information Technology,Communications Equipment,US,SPY,XLK
FICO,FICO,Fair Isaac,Information Technology,Application Software,US,SPY,XLK
FIS,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,US,SPY,XLF
FISV,FISV,Fiserv,Financials,Transaction & Payment Processing Services,US,SPY,XLF
FITB,FITB,Fifth Third Bancorp,Financials,Regional Banks,US,SPY,XLF
FIX,FIX,Comfort Systems USA,Industrials,Construction & Engineering,US,SPY,XLI
FOX,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,US,SPY,XLC
FOXA,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,US,SPY,XLC
FRT,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,US,SPY,XLRE
FSLR,FSLR,First Solar,Information Technology,Semiconductors,US,SPY,XLK
FTNT,FTNT,Fortinet,Information Technology,Systems Software,US,SPY,XLK
FTV,FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,US,SPY,XLI
GD,GD,General Dynamics,Industrials,Aerospace & Defense,US,SPY,XLI
GDDY,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,US,SPY,XLK
GE,GE,GE Aerospace,Industrials,Aerospace & Defense,US,SPY,XLI
GEHC,GEHC,GE HealthCare,Health Care,Health Care Equipment,US,SPY,XLV
GEN,GEN,Gen Digital,Information Technology,Systems Software,US,SPY,XLK
GEV,GEV,GE Vernova,Industrials,Heavy Electrical Equipment,US,SPY,XLI
GILD,GILD,Gilead Sciences,Health Care,Biotechnology,US,SPY,XLV
GIS,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
GL,GL,Globe Life,Financials,Life & Health Insurance,US,SPY,XLF
GLW,GLW,Corning Inc.,Information Technology,Electronic Components,US,SPY,XLK
GM,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,US,SPY,XLY
GNRC,GNRC,Generac,Industrials,Electrical Components & Equipment,US,SPY,XLI
