rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_model__n_estimators,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features
1,0.7195021555884168,0.004985416213384417,0.7573084095153667,0.001516932750005804,207.708984375,100,12,50,400,0.3
2,0.7008261559180595,0.005161087722907216,0.7313165960976723,0.0005831288550324292,687.320254723231,100,10,100,400,0.3
3,0.6273462529617474,0.007603920269302221,0.6410313750996545,0.0026996877678615934,405.13566184043884,200,6,25,400,0.3
4,0.6265216492845109,0.008426890192354725,0.6580259583984848,0.0007630884441624012,136.41102917989096,250,8,100,50,sqrt
5,0.5310659725381429,0.007054345399090472,0.5370128337515849,0.002484180124812206,248.21531510353088,200,4,75,200,0.3
6,0.530847549249633,0.006919647793005242,0.536896229362442,0.0024989594029536616,156.814612865448,200,4,75,100,0.3
7,0.5297266881528404,0.007078827545128051,0.5360911131928288,0.002588802888012714,659.8548546632131,250,4,25,100,0.3
8,0.4488332732784916,0.007880708148428221,0.4572673120335877,0.004112214766963806,203.29331231117249,100,4,50,100,sqrt
