split,k_frac,top_k_n,top_k_event_rate,base_rate,lift
validation,0.1,27194,0.20544973155843202,0.10725068307266863,1.915603012236554
test,0.1,24223,0.13474796680840523,0.09090421183872646,1.4823071899843558
