split,k_frac,top_k_n,top_k_event_rate,base_rate,lift
validation,0.1,27194,0.24755460763403692,0.10725068307266863,2.3081867689952533
test,0.1,24223,0.20967675349874088,0.09090421183872646,2.3065680814738183
