date,symbol,open,high,low,close,adjusted_close,volume
2016-01-04,SPY,200.49000549316406,201.02999877929688,198.58999633789062,201.02000427246094,169.90818786621094,222353500
2016-01-05,SPY,201.39999389648438,201.89999389648438,200.0500030517578,201.36000061035156,170.19552612304688,110845800
2016-01-06,SPY,198.33999633789062,200.05999755859375,197.60000610351562,198.82000732421875,168.04864501953125,152112600
2016-01-07,SPY,195.3300018310547,197.44000244140625,193.58999633789062,194.0500030517578,164.01690673828125,213436100
2016-01-08,SPY,195.19000244140625,195.85000610351562,191.5800018310547,191.9199981689453,162.21656799316406,209817200
2016-01-11,SPY,193.00999450683594,193.41000366210938,189.82000732421875,192.11000061035156,162.37713623046875,187941300
2016-01-12,SPY,193.82000732421875,194.5500030517578,191.13999938964844,193.66000366210938,163.68727111816406,172330500
2016-01-13,SPY,194.4499969482422,194.86000061035156,188.3800048828125,188.8300018310547,159.60479736328125,221168900
2016-01-14,SPY,189.5500030517578,193.25999450683594,187.66000366210938,191.92999267578125,162.22503662109375,240795600
2016-01-15,SPY,186.77000427246094,188.75999450683594,185.52000427246094,187.80999755859375,158.74270629882812,324846400
2016-01-19,SPY,189.9600067138672,190.11000061035156,186.1999969482422,188.05999755859375,158.95394897460938,195244400
2016-01-20,SPY,185.02999877929688,187.5,181.02000427246094,185.64999389648438,156.91696166992188,286547800
2016-01-21,SPY,186.2100067138672,188.8699951171875,184.63999938964844,186.69000244140625,157.7959747314453,195772900
2016-01-22,SPY,189.77999877929688,190.75999450683594,188.8800048828125,190.52000427246094,161.033203125,168319600
2016-01-25,SPY,189.9199981689453,190.14999389648438,187.41000366210938,187.63999938964844,158.59898376464844,130371700
2016-01-26,SPY,188.4199981689453,190.52999877929688,188.02000427246094,190.1999969482422,160.76272583007812,141036800
2016-01-27,SPY,189.5800018310547,191.55999755859375,187.05999755859375,188.1300048828125,159.01316833496094,185681700
2016-01-28,SPY,189.9600067138672,190.1999969482422,187.16000366210938,189.11000061035156,159.84146118164062,143798800
2016-01-29,SPY,190.02000427246094,193.8800048828125,189.8800048828125,193.72000122070312,163.7379913330078,210529300
2016-02-01,SPY,192.52999877929688,194.5800018310547,191.83999633789062,193.64999389648438,163.67881774902344,136061600
2016-02-02,SPY,191.9600067138672,191.97000122070312,189.5399932861328,190.16000366210938,160.72898864746094,182564900
2016-02-03,SPY,191.41000366210938,191.77999877929688,187.10000610351562,191.3000030517578,161.69253540039062,205054900
2016-02-04,SPY,190.7100067138672,192.75,189.9600067138672,191.60000610351562,161.9461212158203,139531800
2016-02-05,SPY,190.99000549316406,191.6699981689453,187.1999969482422,187.9499969482422,158.8610076904297,180788300
2016-02-08,SPY,185.77000427246094,186.1199951171875,182.8000030517578,185.4199981689453,156.72256469726562,191526700
2016-02-09,SPY,183.36000061035156,186.94000244140625,183.1999969482422,185.42999267578125,156.73101806640625,184513100
2016-02-10,SPY,186.41000366210938,188.33999633789062,185.1199951171875,185.27000427246094,156.59576416015625,148214100
2016-02-11,SPY,182.33999633789062,184.10000610351562,181.08999633789062,182.86000061035156,154.55882263183594,219058900
2016-02-12,SPY,184.9600067138672,186.64999389648438,183.9600067138672,186.6300048828125,157.74530029296875,127632400
2016-02-16,SPY,188.77000427246094,189.80999755859375,187.6300048828125,189.77999877929688,160.4077911376953,120250700
2016-02-17,SPY,191.16000366210938,193.32000732421875,191.00999450683594,192.8800048828125,163.0280303955078,136009500
2016-02-18,SPY,193.1999969482422,193.27000427246094,191.72000122070312,192.08999633789062,162.36021423339844,102343000
2016-02-19,SPY,191.1699981689453,192.17999267578125,190.4499969482422,192.0,162.28416442871094,114793000
2016-02-22,SPY,193.8699951171875,194.9499969482422,193.7899932861328,194.77999877929688,164.63389587402344,103640300
2016-02-23,SPY,194.0,194.32000732421875,192.17999267578125,192.32000732421875,162.55465698242188,111455300
2016-02-24,SPY,190.6300048828125,193.52999877929688,189.32000732421875,193.1999969482422,163.29844665527344,150812200
2016-02-25,SPY,193.72999572753906,195.5500030517578,192.8300018310547,195.5399932861328,165.27630615234375,110728300
2016-02-26,SPY,196.57000732421875,196.67999267578125,194.89999389648438,195.08999633789062,164.89593505859375,129833700
2016-02-29,SPY,195.11000061035156,196.22999572753906,193.3300018310547,193.55999755859375,163.60276794433594,125918100
2016-03-01,SPY,195.00999450683594,198.2100067138672,194.4499969482422,198.11000061035156,167.4485321044922,141799700
2016-03-02,SPY,197.74000549316406,199.05999755859375,197.25,199.0,168.2008056640625,102415000
2016-03-03,SPY,198.7899932861328,199.8000030517578,198.11000061035156,199.77999877929688,168.8600311279297,95172200
2016-03-04,SPY,200.00999450683594,201.35000610351562,199.02999877929688,200.42999267578125,169.40948486328125,129293600
2016-03-07,SPY,199.33999633789062,201.07000732421875,199.25,200.58999633789062,169.544677734375,100219000
2016-03-08,SPY,199.32000732421875,199.9199981689453,198.2100067138672,198.39999389648438,167.69363403320312,123974900
2016-03-09,SPY,199.36000061035156,199.7899932861328,198.42999267578125,199.3800048828125,168.52203369140625,94801200
2016-03-10,SPY,199.9600067138672,201.07000732421875,197.3800048828125,199.5399932861328,168.6572265625,156838700
2016-03-11,SPY,201.25999450683594,202.80999755859375,199.52000427246094,202.75999450683594,171.3788604736328,137964500
2016-03-14,SPY,202.16000366210938,203.0399932861328,201.77000427246094,202.5,171.1590576171875,73612000
2016-03-15,SPY,201.36000061035156,202.52999877929688,201.0500030517578,202.1699981689453,170.88015747070312,93169100
2016-03-16,SPY,201.60000610351562,203.82000732421875,201.5500030517578,203.33999633789062,171.86911010742188,129303200
2016-03-17,SPY,203.24000549316406,205.22999572753906,202.77000427246094,204.6300048828125,172.9594268798828,134278500
2016-03-18,SPY,204.1699981689453,204.77999877929688,203.8000030517578,204.3800048828125,173.6391143798828,138372400
2016-03-21,SPY,204.07000732421875,204.94000244140625,203.8000030517578,204.6699981689453,173.88543701171875,72926700
2016-03-22,SPY,203.75999450683594,205.22999572753906,203.57000732421875,204.55999755859375,173.7920379638672,97471900
2016-03-23,SPY,204.11000061035156,204.3300018310547,203.00999450683594,203.2100067138672,172.64508056640625,81052500
2016-03-24,SPY,202.0,203.16000366210938,201.74000549316406,203.1199951171875,172.568603515625,84360900
2016-03-28,SPY,203.61000061035156,203.86000061035156,202.7100067138672,203.24000549316406,172.6705780029297,62408200
2016-03-29,SPY,202.75999450683594,205.25,202.39999389648438,205.1199951171875,174.26779174804688,92922900
2016-03-30,SPY,206.3000030517578,206.8699951171875,205.58999633789062,206.02000427246094,175.03248596191406,86365300
2016-03-31,SPY,205.91000366210938,206.41000366210938,205.3300018310547,205.52000427246094,174.60763549804688,94584100
2016-04-01,SPY,204.35000610351562,207.13999938964844,203.97999572753906,206.9199981689453,175.79705810546875,114423500
2016-04-04,SPY,206.8300018310547,207.07000732421875,205.88999938964844,206.25,175.2278594970703,63497000
2016-04-05,SPY,204.6699981689453,206.25999450683594,203.88999938964844,204.19000244140625,173.47767639160156,99662200
2016-04-06,SPY,204.19000244140625,206.49000549316406,203.97999572753906,206.4199981689453,175.37220764160156,91839800
2016-04-07,SPY,205.13999938964844,205.55999755859375,203.08999633789062,203.9499969482422,173.2737579345703,113859000
2016-04-08,SPY,205.33999633789062,205.85000610351562,203.8699951171875,204.5,173.74107360839844,95040600
2016-04-11,SPY,205.25,206.07000732421875,203.91000366210938,204.02000427246094,173.33328247070312,83757500
2016-04-12,SPY,204.22000122070312,206.25,203.6999969482422,205.9199981689453,174.9474639892578,115350600
2016-04-13,SPY,207.0,208.10000610351562,206.83999633789062,208.0,176.71461486816406,96336400
2016-04-14,SPY,208.07000732421875,208.60000610351562,207.60000610351562,208.00999450683594,176.7230987548828,65212900
2016-04-15,SPY,208.00999450683594,208.1699981689453,207.39999389648438,207.77999877929688,176.52774047851562,75761600
2016-04-18,SPY,207.77999877929688,209.27999877929688,207.0,209.24000549316406,177.76808166503906,82531000
2016-04-19,SPY,209.74000549316406,210.1999969482422,208.94000244140625,209.89999389648438,178.32884216308594,88316100
2016-04-20,SPY,209.9499969482422,210.9199981689453,209.38999938964844,210.10000610351562,178.49874877929688,81100300
2016-04-21,SPY,210.1199951171875,210.25,208.64999389648438,208.97000122070312,177.53875732421875,85695000
2016-04-22,SPY,208.5500030517578,209.2899932861328,207.91000366210938,208.97000122070312,177.53875732421875,99251700
2016-04-25,SPY,208.25999450683594,208.66000366210938,207.5399932861328,208.61000061035156,177.2328643798828,66166500
2016-04-26,SPY,209.0399932861328,209.52000427246094,208.36000061035156,208.9199981689453,177.49620056152344,75864200
2016-04-27,SPY,208.47000122070312,209.80999755859375,208.0500030517578,209.35000610351562,177.861572265625,77329400
2016-04-28,SPY,208.4600067138672,209.75999450683594,206.9600067138672,207.4499969482422,176.2473602294922,97216200
2016-04-29,SPY,206.72000122070312,207.1300048828125,205.02999877929688,206.3300018310547,175.29583740234375,142424100
2016-05-02,SPY,206.9199981689453,208.17999267578125,206.41000366210938,207.97000122070312,176.6890869140625,62188000
2016-05-03,SPY,206.52000427246094,206.8000030517578,205.27999877929688,206.16000366210938,175.1514434814453,106422100
2016-05-04,SPY,204.99000549316406,205.85000610351562,204.4199981689453,205.00999450683594,174.17433166503906,92243800
2016-05-05,SPY,205.55999755859375,205.97999572753906,204.47000122070312,204.97000122070312,174.140380859375,67619200
2016-05-06,SPY,204.05999755859375,205.77000427246094,203.8800048828125,205.72000122070312,174.77755737304688,89315000
2016-05-09,SPY,205.57000732421875,206.39999389648438,205.36000061035156,205.88999938964844,174.92198181152344,74374900
2016-05-10,SPY,206.72000122070312,208.47000122070312,206.63999938964844,208.4499969482422,177.096923828125,77472200
2016-05-11,SPY,207.91000366210938,208.5399932861328,206.5,206.5,175.44021606445312,81727000
2016-05-12,SPY,207.2899932861328,207.49000549316406,205.3699951171875,206.55999755859375,175.4911651611328,89586300
2016-05-13,SPY,206.2100067138672,206.86000061035156,204.3800048828125,204.75999450683594,173.96194458007812,96474600
2016-05-16,SPY,204.9600067138672,207.33999633789062,204.88999938964844,206.77999877929688,175.67813110351562,77486800
